,date,driving,transit,walking
0,2020-01-13,0.0,0.0,0.0
1,2020-01-14,2.969999999999999,-2.230000000000004,-0.4099999999999966
2,2020-01-15,5.189999999999998,-1.1599999999999966,1.8700000000000045
3,2020-01-16,8.480000000000004,-0.9599999999999937,0.5999999999999943
4,2020-01-17,25.510000000000005,8.030000000000001,21.36
5,2020-01-18,15.040000000000006,-2.5900000000000034,32.379999999999995
6,2020-01-19,-9.090000000000003,-14.599999999999994,0.09999999999999432
7,2020-01-20,2.569999999999993,-7.609999999999999,-5.209999999999994
8,2020-01-21,3.069999999999993,0.269999999999996,-5.159999999999997
9,2020-01-22,3.010000000000005,1.0600000000000023,-2.9599999999999937
10,2020-01-23,7.900000000000006,3.2900000000000063,0.8299999999999983
11,2020-01-24,24.700000000000003,13.060000000000002,26.67
12,2020-01-25,20.92,1.8799999999999955,39.610000000000014
13,2020-01-26,-12.680000000000007,-18.650000000000006,-10.099999999999994
14,2020-01-27,-2.030000000000001,-2.4399999999999977,-8.060000000000002
15,2020-01-28,1.5400000000000063,-2.9200000000000017,-6.030000000000001
16,2020-01-29,2.200000000000003,-2.510000000000005,-5.560000000000002
17,2020-01-30,7.609999999999999,0.7199999999999989,-0.04000000000000625
18,2020-01-31,26.08,10.989999999999995,25.019999999999996
19,2020-02-01,22.319999999999993,3.4200000000000017,40.80000000000001
20,2020-02-02,-14.75,-19.799999999999997,-11.579999999999998
21,2020-02-03,-1.1400000000000006,-3.519999999999996,-7.579999999999998
22,2020-02-04,1.9899999999999949,-2.3700000000000045,-6.180000000000007
23,2020-02-05,1.769999999999996,-1.7399999999999949,-5.480000000000004
24,2020-02-06,7.719999999999999,1.1500000000000057,-2.4000000000000057
25,2020-02-07,24.069999999999993,10.909999999999997,22.230000000000004
26,2020-02-08,22.870000000000005,7.269999999999996,42.94
27,2020-02-09,-8.420000000000002,-15.799999999999997,-7.170000000000002
28,2020-02-10,2.930000000000007,-1.7000000000000028,-8.060000000000002
29,2020-02-11,6.75,0.6400000000000006,-3.8700000000000045
30,2020-02-12,9.019999999999996,2.0799999999999983,-0.1599999999999966
31,2020-02-13,18.36,6.670000000000002,8.299999999999997
32,2020-02-14,45.400000000000006,19.060000000000002,47.81999999999999
33,2020-02-15,32.50999999999999,7.769999999999996,58.55000000000001
34,2020-02-16,2.269999999999996,-8.370000000000005,16.260000000000005
35,2020-02-17,10.780000000000001,1.730000000000004,7.519999999999996
36,2020-02-18,9.459999999999994,4.640000000000001,0.23000000000000398
37,2020-02-19,10.849999999999994,5.159999999999997,3.2099999999999937
38,2020-02-20,14.86,6.159999999999997,6.25
39,2020-02-21,35.849999999999994,17.14,36.41
40,2020-02-22,34.349999999999994,10.650000000000006,62.44999999999999
41,2020-02-23,-0.519999999999996,-12.730000000000004,6.109999999999999
42,2020-02-24,6.230000000000004,-0.7900000000000063,-0.6599999999999966
43,2020-02-25,10.269999999999996,0.12000000000000455,3.030000000000001
44,2020-02-26,12.36,0.519999999999996,1.8400000000000034
45,2020-02-27,18.849999999999994,2.980000000000004,7.829999999999998
46,2020-02-28,39.80000000000001,16.019999999999996,36.34
47,2020-02-29,38.41,9.920000000000002,55.81999999999999
48,2020-03-01,1.0400000000000063,-14.689999999999998,2.2900000000000063
49,2020-03-02,7.730000000000004,-1.9399999999999977,-0.7999999999999972
50,2020-03-03,12.980000000000004,0.2600000000000051,4.760000000000005
51,2020-03-04,13.049999999999997,1.5,4.609999999999999
52,2020-03-05,19.739999999999995,3.530000000000001,11.670000000000002
53,2020-03-06,39.97999999999999,11.5,33.94
54,2020-03-07,37.370000000000005,7.319999999999993,55.69999999999999
55,2020-03-08,1.6400000000000006,-15.769999999999996,7.769999999999996
56,2020-03-09,9.650000000000006,-2.9000000000000057,5.329999999999998
57,2020-03-10,11.340000000000003,-7.519999999999996,3.0600000000000023
58,2020-03-11,10.969999999999999,-10.030000000000001,2.3400000000000034
59,2020-03-12,8.489999999999995,-20.92,-3.569999999999993
60,2020-03-13,17.010000000000005,-23.22,5.8799999999999955
61,2020-03-14,2.8700000000000045,-35.41,5.239999999999995
62,2020-03-15,-23.840000000000003,-50.07,-30.28
63,2020-03-16,-15.909999999999997,-49.21,-30.569999999999993
64,2020-03-17,-22.959999999999994,-56.42,-35.95
65,2020-03-18,-27.159999999999997,-60.37,-40.74
66,2020-03-19,-29.790000000000006,-63.24,-43.7
67,2020-03-20,-25.67,-64.2,-40.41
68,2020-03-21,-37.69,-70.69,-47.74
69,2020-03-22,-53.55,-75.16,-60.29
70,2020-03-23,-44.27,-71.83,-55.69
71,2020-03-24,-44.48,-72.09,-53.66
72,2020-03-25,-44.76,-73.06,-53.96
73,2020-03-26,-43.19,-72.91,-51.75
74,2020-03-27,-37.78,-71.93,-48.05
75,2020-03-28,-47.44,-76.17,-55.58
76,2020-03-29,-57.04,-77.61,-61.71
77,2020-03-30,-46.47,-73.49,-54.64
78,2020-03-31,-46.02,-74.53,-54.94
79,2020-04-01,-44.51,-74.76,-52.59
80,2020-04-02,-44.36,-75.33,-52.9
81,2020-04-03,-39.39,-74.96000000000001,-49.8
82,2020-04-04,-47.78,-77.58,-54.23
83,2020-04-05,-57.81,-79.08,-61.11
84,2020-04-06,-46.27,-75.28999999999999,-53.06
85,2020-04-07,-44.73,-75.35,-51.3
86,2020-04-08,-43.79,-75.49,-51.23
87,2020-04-09,-43.1,-76.31,-53.72
88,2020-04-10,-36.13,-75.69,-48.03
89,2020-04-11,-42.49,-77.35,-49.31
90,2020-04-12,-62.58,-80.94,-65.8
91,2020-04-13,-45.02,-76.33,-55.94
92,2020-04-14,-40.7,-75.56,-51.32
93,2020-04-15,-36.97,-75.77,-49.63
94,2020-04-16,-35.89,-75.94,-49.36
95,2020-04-17,-29.290000000000006,-75.11,-45.15
96,2020-04-18,-34.93000000000001,-77.11,-47.51
97,2020-04-19,-47.29,-77.89,-54.14
98,2020-04-20,-34.849999999999994,-73.87,-46.13
99,2020-04-21,-35.0,-74.9,-48.1
100,2020-04-22,-33.510000000000005,-74.91,-47.14
101,2020-04-23,-32.0,-74.92,-47.08
102,2020-04-24,-23.319999999999993,-74.01,-41.11
103,2020-04-25,-27.379999999999995,-75.15,-40.0
104,2020-04-26,-42.94,-77.53,-54.05
105,2020-04-27,-31.230000000000004,-73.36,-45.07
106,2020-04-28,-28.67,-72.68,-42.39
107,2020-04-29,-28.14,-73.16,-43.33
108,2020-04-30,-25.019999999999996,-73.34,-42.19
109,2020-05-01,-11.5,-70.76,-30.42
110,2020-05-02,-15.659999999999997,-71.89,-28.709999999999994
111,2020-05-03,-31.92,-73.65,-42.36
112,2020-05-04,40.984989232968076,13.758333980972335,38.329235839169044
113,2020-05-05,36.28426125256468,6.125000578820587,55.637910429469244
114,2020-05-06,3.242421386964576,-14.630171114661684,7.564068389798264
115,2020-05-07,13.31052607410186,-1.6632716870903796,5.9459279054230425
116,2020-05-08,15.938595723224537,-0.5455072857961059,6.718361443002349
117,2020-05-09,16.833066514240443,-0.10216548145194493,7.860832842131018
118,2020-05-10,21.677019213519195,0.7578423769629524,11.167914097174302
119,2020-05-11,42.830755621228306,13.851167399006536,39.907329795803456
120,2020-05-12,38.13002764082516,6.217833996837457,57.21600438616891
121,2020-05-13,5.088187775225066,-14.537337696642814,9.142162346482595
122,2020-05-14,15.156292462388567,-1.5704382690569474,7.524021862153528
123,2020-05-15,17.784362111519258,-0.45267386776043805,8.29645539976357
124,2020-05-16,18.67883290255266,-0.009332063396047863,9.43892679891252
125,2020-05-17,23.52278560184809,0.8506757950295505,12.746008053961086
126,2020-05-18,44.67652200950473,13.944000817029636,41.485423752528604
127,2020-05-19,39.97579402908564,6.310667414854327,58.794098342868566
128,2020-05-20,6.933954163485559,-14.444504278623947,10.720256303166927
129,2020-05-21,17.002058850671354,-1.477604851016264,9.102115818843707
130,2020-05-21,19.630128499778404,-0.35984044973794127,9.874549356424884
131,2020-05-22,20.52459929081779,0.08350135462269548,11.017020755604573
132,2020-05-23,25.368551990114472,0.9435092130469543,14.324102010651117
133,2020-05-24,46.52228839781152,14.036834235078947,43.06351770929317
134,2020-05-25,41.82156041745488,6.4035008329516385,60.37219229965629
135,2020-05-26,8.779720551822251,-14.351670860567713,12.298350259995006
136,2020-05-27,18.847825238958052,-1.3847714329828302,10.680209775574198
137,2020-05-28,21.475894888057645,-0.2670070317103157,11.452643313148409
138,2020-05-29,22.370365679082923,0.1763347726414377,12.59511471229663
139,2020-05-30,27.21431837841212,1.0363426310889556,15.902195967389526
140,2020-05-31,48.36805478605757,14.12966765307584,44.64161166597893
141,2020-06-01,43.667326805691864,6.496334250945875,61.950286256333314
